t,x,y,yaw,wz,cmd_w,phase
9.65,33.99967575073242,40.79998016357422,-0.0002600675110231532,-2.492153271305142e-06,0.0,idle
9.666666666,33.99967575073242,40.79997634887695,-0.0002636032225056498,1.939299181685783e-05,0.0,idle
9.683333333,33.99967575073242,40.79998779296875,-0.0002469453029038952,3.192336635038373e-06,0.0,idle
9.7,33.99967575073242,40.799983978271484,-0.0002462623766420207,0.00010863551869988441,0.0,idle
9.716666666,33.99967575073242,40.79997634887695,-0.00026088423011260575,8.748270374780986e-06,0.0,idle
9.733333333000001,33.99967956542969,40.799991607666016,-0.00024208753946961946,4.799948146683164e-05,0.0,idle
9.75,33.99967956542969,40.799983978271484,-0.0002553930775844993,8.135568350553513e-06,0.0,idle
9.766666666,33.99967575073242,40.79997634887695,-0.0002700455792543856,-5.96668041907833e-06,0.0,idle
9.783333333,33.99968338012695,40.79998779296875,-0.00024665379005545866,1.2814336514566094e-05,0.0,idle
9.8,33.99967956542969,40.79998016357422,-0.0002562998946932256,-7.153064416343113e-06,0.0,idle
9.816666666,33.99968338012695,40.79998016357422,-0.00025660901274465633,-1.2045015864714514e-06,0.0,idle
9.833333333,33.99968338012695,40.79997634887695,-0.0002600981660742128,-7.804806955391541e-06,0.0,idle
9.85,33.99968338012695,40.799991607666016,-0.00024267544553063265,-6.321412456600228e-06,0.0,idle
9.866666666,33.99968338012695,40.799983978271484,-0.000251403876253002,1.4817459259575116e-06,0.0,idle
9.883333333,33.99968338012695,40.79997634887695,-0.0002652746962589442,-6.091452746659343e-07,0.0,idle
9.9,33.99967956542969,40.79998779296875,-0.00024754673887833847,-2.202104042225983e-06,0.0,idle
9.916666666,33.99967956542969,40.79997634887695,-0.000261768827756261,-3.239928673792747e-06,0.0,idle
9.933333333,33.99967956542969,40.799991607666016,-0.0002448684072777119,2.2126852854853496e-05,0.0,idle
9.95,33.99967575073242,40.799983978271484,-0.0002587414962843742,2.1687728803954087e-05,0.0,idle
9.966666666,33.99967575073242,40.79998016357422,-0.0002675116739539156,6.568850494659273e-06,0.0,idle
9.983333333000001,33.99967575073242,40.79998016357422,-0.00026579263773112013,9.422835319128353e-06,0.0,idle
10.0,33.99967575073242,40.79997634887695,-0.0002694072513901885,1.0288529665558599e-05,0.0,idle
