t,x,y,speed
26.9500,-0.0003,0.0000,0.0000
26.9667,-0.0003,-0.0000,0.0000
26.9833,-0.0003,-0.0000,0.0000
27.0000,-0.0003,0.0000,0.0001
27.0167,-0.0003,0.0000,0.0000
27.0333,-0.0003,0.0000,0.0001
27.0500,-0.0003,0.0000,0.0001
27.0667,-0.0003,0.0000,0.0000
27.0833,-0.0003,0.0000,0.0001
27.1000,-0.0003,0.0000,0.0001
27.1167,-0.0003,0.0000,0.0001
27.1333,-0.0003,0.0000,0.0000
27.1500,-0.0003,-0.0000,0.0000
27.1667,-0.0003,-0.0000,0.0000
27.1833,-0.0003,-0.0000,0.0001
27.2000,-0.0003,-0.0000,0.0000
27.2167,-0.0003,-0.0000,0.0000
27.2333,-0.0003,0.0000,0.0000
27.2500,-0.0003,0.0000,0.0000
27.2667,-0.0003,0.0000,0.0001
27.2833,-0.0003,0.0000,0.0000
27.3000,-0.0003,0.0000,0.0000
27.3167,-0.0003,0.0000,0.0001
27.3333,-0.0003,0.0000,0.0001
27.3500,-0.0003,0.0000,0.0000
27.3667,-0.0003,0.0000,0.0000
27.3833,-0.0003,0.0000,0.0000
27.4000,-0.0003,0.0000,0.0000
27.4167,-0.0003,0.0000,0.0000
27.4333,-0.0003,0.0000,0.0000
27.4500,-0.0003,0.0000,0.0000
27.4667,-0.0003,0.0000,0.0001
27.4833,-0.0003,0.0000,0.0001
27.5000,-0.0003,0.0000,0.0000
27.5167,-0.0003,0.0000,0.0000
27.5333,-0.0003,0.0000,0.0000
27.5500,-0.0003,0.0000,0.0001
27.5667,-0.0003,0.0000,0.0000
27.5833,-0.0003,0.0000,0.0000
27.6000,-0.0003,0.0000,0.0000
27.6167,-0.0003,0.0000,0.0000
27.6333,-0.0003,0.0000,0.0000
27.6500,-0.0003,0.0000,0.0001
27.6667,-0.0003,0.0000,0.0000
27.6833,-0.0003,-0.0000,0.0000
27.7000,-0.0003,0.0000,0.0000
27.7167,-0.0003,0.0000,0.0000
27.7333,-0.0003,0.0000,0.0000
27.7500,-0.0003,0.0000,0.0001
27.7667,-0.0003,0.0000,0.0000
27.7833,-0.0003,0.0000,0.0000
27.8000,-0.0003,0.0000,0.0000
27.8167,-0.0003,0.0000,0.0000
27.8333,-0.0003,0.0000,0.0000
27.8500,-0.0003,0.0000,0.0001
27.8667,-0.0003,-0.0000,0.0000
27.8833,-0.0003,-0.0000,0.0000
27.9000,-0.0003,-0.0000,0.0000
27.9167,-0.0003,0.0000,0.0001
27.9333,-0.0003,0.0000,0.0000
27.9500,-0.0003,0.0000,0.0000
27.9667,-0.0003,0.0000,0.0000
27.9833,-0.0003,0.0000,0.0000
28.0000,-0.0003,0.0000,0.0000
28.0167,-0.0003,0.0000,0.0000
28.0333,-0.0003,0.0000,0.0000
28.0500,-0.0003,-0.0000,0.0000
28.0667,-0.0003,0.0000,0.0000
28.0833,-0.0003,0.0000,0.0001
28.1000,-0.0003,0.0000,0.0000
28.1167,-0.0003,0.0000,0.0001
28.1333,-0.0003,0.0000,0.0000
28.1500,-0.0003,0.0000,0.0000
28.1667,-0.0003,0.0000,0.0001
28.1833,-0.0003,0.0000,0.0001
28.2000,-0.0003,0.0000,0.0000
28.2167,-0.0003,0.0000,0.0001
28.2333,-0.0003,0.0000,0.0000
28.2500,-0.0003,0.0000,0.0000
28.2667,-0.0003,0.0000,0.0000
28.2833,-0.0003,0.0000,0.0000
28.3000,-0.0003,0.0000,0.0000
28.3167,-0.0003,0.0000,0.0000
28.3333,-0.0003,0.0000,0.0000
28.3500,-0.0003,0.0000,0.0000
28.3667,-0.0003,0.0000,0.0001
28.3833,-0.0003,0.0000,0.0000
28.4000,-0.0003,0.0000,0.0001
28.4167,-0.0003,0.0000,0.0001
28.4333,-0.0003,0.0000,0.0000
28.4500,-0.0003,0.0000,0.0001
28.4667,-0.0003,0.0000,0.0001
28.4833,-0.0003,0.0000,0.0000
28.5000,-0.0003,0.0000,0.0000
28.5167,-0.0003,0.0000,0.0000
28.5333,-0.0003,0.0000,0.0000
28.5500,-0.0003,0.0000,0.0000
28.5667,-0.0003,0.0000,0.0000
28.5833,-0.0003,0.0000,0.0000
28.6000,-0.0003,0.0000,0.0000
28.6167,-0.0003,0.0000,0.0000
28.6333,-0.0003,0.0000,0.0001
28.6500,-0.0003,0.0000,0.0001
28.6667,-0.0003,0.0000,0.0000
28.6833,-0.0003,0.0000,0.0001
28.7000,-0.0003,0.0000,0.0000
28.7167,-0.0003,0.0000,0.0001
28.7333,-0.0003,0.0000,0.0000
28.7500,-0.0003,0.0000,0.0000
28.7667,-0.0003,0.0000,0.0001
28.7833,-0.0003,0.0000,0.0000
28.8000,-0.0003,0.0000,0.0000
28.8167,-0.0003,0.0000,0.0001
28.8333,-0.0003,0.0000,0.0000
28.8500,-0.0003,0.0000,0.0000
28.8667,-0.0003,0.0000,0.0001
28.8833,-0.0003,0.0000,0.0001
28.9000,-0.0003,-0.0000,0.0000
28.9167,-0.0003,0.0000,0.0000
28.9333,-0.0003,0.0000,0.0000
28.9500,-0.0003,-0.0000,0.0001
28.9667,-0.0003,0.0000,0.0001
28.9833,-0.0003,0.0000,0.0000
29.0000,-0.0003,0.0000,0.0000
29.0167,-0.0003,0.0000,0.0000
29.0333,-0.0003,-0.0000,0.0000
29.0500,-0.0003,-0.0000,0.0001
29.0667,-0.0003,-0.0000,0.0000
29.0833,-0.0003,0.0000,0.0000
29.1000,-0.0003,0.0000,0.0000
29.1167,-0.0003,0.0000,0.0001
29.1333,-0.0003,0.0000,0.0000
29.1500,-0.0003,0.0000,0.0000
29.1667,-0.0003,0.0000,0.0001
29.1833,-0.0003,0.0000,0.0000
29.2000,-0.0003,0.0000,0.0000
29.2167,-0.0003,0.0000,0.0000
29.2333,-0.0003,0.0000,0.0000
29.2500,-0.0003,0.0000,0.0001
29.2667,-0.0003,0.0000,0.0001
29.2833,-0.0003,0.0000,0.0000
29.3000,-0.0003,0.0000,0.0001
29.3167,-0.0003,0.0000,0.0001
29.3333,-0.0003,0.0000,0.0000
29.3500,-0.0003,0.0000,0.0000
29.3667,-0.0003,0.0000,0.0000
29.3833,-0.0003,0.0000,0.0000
29.4000,-0.0003,0.0000,0.0001
29.4167,-0.0003,0.0000,0.0001
29.4333,-0.0003,0.0000,0.0000
29.4500,-0.0003,0.0000,0.0000
29.4667,-0.0003,0.0000,0.0000
29.4833,-0.0003,0.0000,0.0001
29.5000,-0.0003,0.0000,0.0000
29.5167,-0.0003,0.0000,0.0000
29.5333,-0.0003,0.0000,0.0000
29.5500,-0.0003,0.0000,0.0000
29.5667,-0.0003,0.0000,0.0000
29.5833,-0.0003,0.0000,0.0001
29.6000,-0.0003,0.0000,0.0000
29.6167,-0.0003,0.0000,0.0000
29.6333,-0.0003,0.0000,0.0000
29.6500,-0.0003,0.0000,0.0000
29.6667,-0.0003,0.0000,0.0000
29.6833,-0.0003,0.0000,0.0000
29.7000,-0.0003,0.0000,0.0000
29.7167,-0.0003,0.0000,0.0000
29.7333,-0.0003,0.0000,0.0001
29.7500,-0.0003,0.0000,0.0001
29.7667,-0.0003,0.0000,0.0000
29.7833,-0.0003,0.0000,0.0000
29.8000,-0.0003,0.0000,0.0001
29.8167,-0.0003,0.0000,0.0000
29.8333,-0.0003,0.0000,0.0000
29.8500,-0.0003,0.0000,0.0001
29.8667,-0.0003,0.0000,0.0000
29.8833,-0.0003,0.0000,0.0001
29.9000,-0.0003,-0.0000,0.0000
29.9167,-0.0003,0.0000,0.0000
29.9333,-0.0003,-0.0000,0.0001
29.9500,-0.0003,0.0000,0.0000
29.9667,-0.0003,0.0000,0.0000
29.9833,-0.0003,0.0000,0.0000
30.0000,-0.0003,-0.0000,0.0001
30.0167,-0.0003,-0.0000,0.0001
30.0333,-0.0003,0.0000,0.0000
30.0500,-0.0003,0.0000,0.0000
30.0667,-0.0003,0.0000,0.0000
30.0833,-0.0003,0.0000,0.0000
30.1000,-0.0003,0.0000,0.0000
30.1167,-0.0003,0.0000,0.0000
