seq,edge,t_start,t_end,duration
1,n1→n2,7.333,22.067,14.733
2,n2→n3,22.067,51.550,29.483
3,n3→n4,51.550,75.250,23.700
4,n4→n5,75.250,103.817,28.567
5,n5→n1,103.817,118.133,14.317
6,n1→n2,118.133,130.217,12.083
7,n2→n3,130.217,159.400,29.183
8,n3→n4,159.400,183.217,23.817
9,n4→n5,183.217,211.833,28.617
10,n5→n1,211.833,226.117,14.283
11,n1→n2,226.117,238.267,12.150
12,n2→n3,238.267,267.367,29.100
13,n3→n4,267.367,291.117,23.750
14,n4→n5,291.117,319.750,28.633
15,n5→n1,319.750,334.050,14.300
16,n1→n2,334.050,346.183,12.133
17,n2→n3,346.183,375.333,29.150
18,n3→n4,375.333,399.033,23.700
19,n4→n5,399.033,427.633,28.600
20,n5→n1,427.633,441.933,14.300
